date,set_code_name,colors,record,format,link
19/10/24,DSK,WUb,7 - 2,Draft,https://www.17lands.com/deck/b874c8f5d3744d9897d8f74b33ac7f73/0
18/10/24,DSK,WR,7 - 0,Draft,https://www.17lands.com/deck/e238ac9f7933451d8c031adf7f62e0cf/0
18/10/24,DSK,WR,2 - 3,Draft,https://www.17lands.com/deck/4e913ebc663d4daeb986142801104319/0
16/10/24,DSK,WR,4 - 3,Draft,https://www.17lands.com/deck/7c7a124e413842a289d21e7551a3dc63/0
14/10/24,DSK,RG,3 - 3,Draft,https://www.17lands.com/deck/0fad0f980f32432c8293622feeefb51c/0
13/10/24,DSK,BR,7 - 1,Draft,https://www.17lands.com/deck/ec5e04b1118e4dccb3e2ea32f91d04e6/0
2/10/24,DSK,BR,1 - 3,Draft,https://www.17lands.com/deck/176ab7d01d31401ebae8f66c6f269e37/0
1/10/24,DSK,WGb,1 - 3,Draft,https://www.17lands.com/deck/f40e56ba2b3447c48bd35741f38313b8/0
30/9/24,DSK,WB,4 - 3,Draft,https://www.17lands.com/deck/94c3072c115e49909d62c8463d425c44/0
28/9/24,DSK,RGb,5 - 3,Draft,https://www.17lands.com/deck/20555e90d7ec44ae849b131cb23da181/0
27/9/24,DSK,BG,3 - 3,Draft,https://www.17lands.com/deck/ccb1a1372a91492597464296a4636f94/0
27/9/24,DSK,RGb,5 - 3,Draft,https://www.17lands.com/deck/8e363eda2c4c449992bd2a499fdc401a/0
27/9/24,DSK,UGr,0 - 3,Draft,https://www.17lands.com/deck/4aaeca9d61cf414eaee132b849b9f368/0
27/9/24,DSK,WB,1 - 3,Draft,https://www.17lands.com/deck/6b8bb19111bd4c82a9bb53ad3236d07a/0
27/9/24,DSK,WU,1 - 3,Draft,https://www.17lands.com/deck/ded8fa284f264432b231325291fc144c/0
26/9/24,DSK,UR,4 - 3,Draft,https://www.17lands.com/deck/214f4a363a004889b49736f09f4ba483/0
25/9/24,DSK,WUr,2 - 3,Draft,https://www.17lands.com/deck/9bad3245da094946b8ad66cd9d3debc9/0
25/9/24,DSK,BG,0 - 3,Draft,https://www.17lands.com/deck/ece20754aebf40bfa0b425cd59cb1260/0
25/9/24,DSK,RG,2 - 3,Draft,https://www.17lands.com/deck/360b484357534478beba21c4010decb6/0
22/9/24,ZNR,WB,7 - 2,Draft,https://www.17lands.com/deck/26f3097ed9d743bf8df465c20beb3a67/0
21/9/24,ZNR,UR,5 - 3,Draft,https://www.17lands.com/deck/5965b568bc044e1c91c175c8e4dbfaab/0
21/9/24,ZNR,BR,2 - 3,Draft,https://www.17lands.com/deck/4e6b90cbc64e45e38c0ced446deb5619/0
20/9/24,ZNR,BR,6 - 3,Draft,https://www.17lands.com/deck/4625c9631af04aa3b6a029b263de7ddd/0
19/9/24,ZNR,UR,4 - 3,Draft,https://www.17lands.com/deck/8b490cdbbe1a481c919eaba4d5f40d3e/0
19/9/24,ZNR,WB,1 - 3,Draft,https://www.17lands.com/deck/05c6766765d848ffbdf58ce0b7733d49/0
18/9/24,ZNR,WR,7 - 1,Draft,https://www.17lands.com/deck/e1d0c10a8e3d44ebbdb6a154a0a73e65/0
18/9/24,ZNR,UB,6 - 3,Draft,https://www.17lands.com/deck/85b82c9d032148e193414d755bc0aa70/0
17/9/24,AKR,UR,6 - 3,Draft,https://www.17lands.com/deck/a3854ecfa7e04862b28b023a7726ea73/0
15/9/24,BLB,UG,3 - 3,Draft,https://www.17lands.com/deck/77c0df7cbb8b4ae8b718b25359648a50/0
14/9/24,BLB,WBug,5 - 3,Draft,https://www.17lands.com/deck/ddc64843b2be463c9b3dbf28e51087ef/0
13/9/24,AKR,WR,7 - 1,Draft,https://www.17lands.com/deck/cc51e43817f14e5f8cccf9ffe7a8798f/0
11/9/24,AKR,URb,2 - 3,Draft,https://www.17lands.com/deck/716ef5e419c7489891be74a9494900d4/0
11/9/24,AKR,WR,7 - 2,Draft,https://www.17lands.com/deck/63a9577701d74d25b0ede3ba63065db8/0
11/9/24,AKR,WB,1 - 3,Draft,https://www.17lands.com/deck/0d94d99c70b8411c9085fc542ba3d27c/0
9/9/24,DMU,WR,7 - 0,Draft,https://www.17lands.com/deck/7146560de9424bce82a87082d8e8500d/0
5/9/24,BLB,BG,2 - 3,Draft,https://www.17lands.com/deck/cf49d1b1a9fd43ca84b048a038d9afbe/0
3/9/24,BLB,WB,1 - 3,Draft,https://www.17lands.com/deck/39cd46493b5944228d05bdd53c397aff/0
2/9/24,BLB,BGwr,7 - 2,Draft,https://www.17lands.com/deck/079d06058364450cb567987282cb1af3/0
28/8/24,BLB,BG,4 - 3,Draft,https://www.17lands.com/deck/86fe456475884f54906655dc30eebd6c/0
16/8/24,BLB,WR,4 - 3,Draft,https://www.17lands.com/deck/fd40e0f9c42c43f0b698b0e2bb3a1d31/0
14/8/24,BLB,RGb,5 - 3,Draft,https://www.17lands.com/deck/b0477071e03b49b59a20a1d0c7ea78ad/0
13/8/24,BLB,WB,5 - 3,Draft,https://www.17lands.com/deck/140b3a112a91490880c055666ad6741e/0
9/8/24,BLB,RG,7 - 2,Draft,https://www.17lands.com/deck/9187229331d2413cb8eb52ad4cfe6d6f/0
8/8/24,BLB,BG,2 - 3,Draft,https://www.17lands.com/deck/a5c451f5c78d44c8a2240d83bae289bc/0
6/8/24,BLB,WB,7 - 2,Draft,https://www.17lands.com/deck/e84039e960a343b68c40517191bd502d/0
6/8/24,BLB,WB,4 - 3,Draft,https://www.17lands.com/deck/2991182284f944a883e0b43d3a8df3d0/0
3/8/24,BLB,WUG,6 - 3,Draft,https://www.17lands.com/deck/e827ab943c6c4f6cb36c79867f78c1db/0
2/8/24,BLB,WGu,4 - 3,Draft,https://www.17lands.com/deck/87c51a6ae03048ab89389e9c3c63f798/0
16/7/24,OTJ,WG,4 - 3,Draft,https://www.17lands.com/deck/994014a338b340d9aa43f4a031f92684/0
11/7/24,WOE,BGw,1 - 3,Draft,https://www.17lands.com/deck/eadde5f009e5478db5fa227ee50e5607/0
31/5/24,OTJ,BGw,7 - 2,Draft,https://www.17lands.com/deck/31ef355e161f477a82f3b5ce512549f2/0
18/5/24,THB,WB,7 - 1,Draft,https://www.17lands.com/deck/4430558029bc404aaa9db748cd92cc58/0
14/5/24,OTJ,UB,3 - 3,Draft,https://www.17lands.com/deck/5865d46b9aef44c39b7285ec608ad89b/0
5/5/24,OTJ,BGu,5 - 3,Draft,https://www.17lands.com/deck/5265655e86d34da4874624cf9f9b7f76/0
1/5/24,OTJ,BG,1 - 3,Draft,https://www.17lands.com/deck/73ec16c55d644267aadba21cd597b726/0
27/4/24,OTJ,BGw,4 - 3,Draft,https://www.17lands.com/deck/f0a7a909ac0d42bebc9aff4012a097c8/0
24/4/24,OTJ,WRG,3 - 3,Draft,https://www.17lands.com/deck/c0a546534bf14c1e8d37d394879a5857/0
18/4/24,OTJ,BRG,7 - 1,Draft,https://www.17lands.com/deck/c88b81833a35405fa21ce93f0adc5083/0
30/3/24,RAVM,UGb,4 - 3,Draft,https://www.17lands.com/deck/000e43cca69249ae87d2179699c01dcf/0
27/3/24,MKM,WRGu,4 - 3,Draft,https://www.17lands.com/deck/d786cea14a714ee98314df44a241b75f/0
27/3/24,MKM,UR,2 - 3,Draft,https://www.17lands.com/deck/f5aa7044232649d7a0f6470ef17980c0/0
20/3/24,MKM,UR,2 - 3,Draft,https://www.17lands.com/deck/aa9af0bdb5894234a358364a12823b8d/0
12/3/24,MKM,RGwub,4 - 3,Draft,https://www.17lands.com/deck/91805f6e00e24cbaa216cdaa602ad5ac/0
12/3/24,MKM,UBG,7 - 1,Draft,https://www.17lands.com/deck/9dbab3135a95417f8bd7c874e11e4f46/0
8/3/24,MKM,WG,5 - 3,Draft,https://www.17lands.com/deck/08024f65f6fc402099631efad44aa03c/0
7/3/24,MKM,URG,2 - 3,Draft,https://www.17lands.com/deck/03a29c1ec2e943c99c9e0c0a75157443/0
1/3/24,MKM,UB,4 - 3,Draft,https://www.17lands.com/deck/5fcedccacd6948d2a11da73f6dcd2b67/0
1/3/24,MKM,BG,4 - 3,Draft,https://www.17lands.com/deck/88b169f992644119a03076ee60ac1072/0
29/2/24,MKM,URG,2 - 3,Draft,https://www.17lands.com/deck/16f53f053d094a33b2f00f6a9e4276d4/0
27/2/24,MKM,RGw,7 - 0,Draft,https://www.17lands.com/deck/c8554720e8af4f60b6b9a5830a312f45/0
22/2/24,MKM,WUGbr,5 - 3,Draft,https://www.17lands.com/deck/17715e84eec54dbd99256bf424f4477f/0
20/2/24,MKM,UGwb,4 - 3,Draft,https://www.17lands.com/deck/584f325eae0f424e9c4827d0a1517dad/0
14/2/24,MKM,WU,7 - 2,Draft,https://www.17lands.com/deck/b416fa6385e345c9ab5a2063e1908f8a/0
12/2/24,MKM,WR,2 - 3,Draft,https://www.17lands.com/deck/1e9b53b6fb584165b902b879bef40142/0
12/2/24,MKM,URGb,7 - 2,Draft,https://www.17lands.com/deck/ed0ba0bf08254fbea2cd8e322c3dfdee/0
10/2/24,MKM,BG,6 - 3,Draft,https://www.17lands.com/deck/f39106f756784fd3abf80e0e00463c98/0
7/2/24,MKM,BR,1 - 3,Draft,https://www.17lands.com/deck/fae128ccf0ae4a8883108da10fde0018/0
7/2/24,MKM,UG,3 - 3,Draft,https://www.17lands.com/deck/3f303f012a2947bb87de9ec6c5839a12/0
7/2/24,MKM,UB,1 - 3,Draft,https://www.17lands.com/deck/819c36556fe24183a9a0442bf17241ed/0
18/1/24,LCI,WU,1 - 3,Draft,https://www.17lands.com/deck/d62ebd3e82054a249558f35722cce53a/0
20/12/23,KTK,UBG,4 - 3,Draft,https://www.17lands.com/deck/43a8068f109f443399c51120351aff6f/0
18/12/23,KTK,URGwb,7 - 1,Draft,https://www.17lands.com/deck/d2e6934bddb64eca83e4d28419be87f5/0
18/12/23,KTK,WBG,4 - 3,Draft,https://www.17lands.com/deck/11500b8d9f09489a82d9f7d1d9b5a388/0
14/12/23,KTK,UBG,2 - 3,Draft,https://www.17lands.com/deck/eecab03592524195ab0396c754c902c5/0
12/12/23,KTK,WBGur,7 - 2,Draft,https://www.17lands.com/deck/822371cd1c76467a9e0baa01ddf6a950/0
9/12/23,LCI,WU,1 - 3,Draft,https://www.17lands.com/deck/5e2bf7411fa04d83a5065abb213039ae/0
7/12/23,LCI,WU,6 - 3,Draft,https://www.17lands.com/deck/17cb7c263b1c41c3a56c145c0b75d211/0
2/12/23,LCI,WU,2 - 3,Draft,https://www.17lands.com/deck/83eaf97a2fda4991820a328dcaaed5ff/0
1/12/23,LCI,UR,2 - 3,Draft,https://www.17lands.com/deck/e3bad432c0574f34a27437900800cf6d/0
29/11/23,LCI,WB,7 - 1,Draft,https://www.17lands.com/deck/dda0bb59cc1241ebab16149635d2e51b/0
29/11/23,LCI,UR,4 - 3,Draft,https://www.17lands.com/deck/72426d56af8645bfa604459b0a38cec9/0
29/11/23,LCI,UB,3 - 3,Draft,https://www.17lands.com/deck/1a527be432be4d3caed3ce3a11d960d8/0
28/11/23,LCI,UGr,5 - 3,Draft,https://www.17lands.com/deck/be785176cb7145ea9b01c11b5af4f0ff/0
28/11/23,LCI,WR,2 - 3,Draft,https://www.17lands.com/deck/e474c600003b43bc9e1d35e3ef6c7ee1/0
28/11/23,LCI,BR,3 - 3,Draft,https://www.17lands.com/deck/188e73758e374c8e83f7d75b78be3f97/0
28/11/23,LCI,UR,4 - 3,Draft,https://www.17lands.com/deck/3eac4f4b55164a019931d0cca8a380aa/0
27/11/23,LCI,UR,3 - 3,Draft,https://www.17lands.com/deck/1c0a6744953241c5b88e99181fd67f28/0
26/11/23,LCI,WU,4 - 3,Draft,https://www.17lands.com/deck/86f649e4e82d477f86e5816389409c9e/0
26/11/23,LCI,WG,1 - 3,Draft,https://www.17lands.com/deck/42db8e2e23c64a13a60fa66020a0ff60/0
24/11/23,LCI,WB,5 - 3,Draft,https://www.17lands.com/deck/ee5b45885f7a4af0be7defdad161e680/0
24/11/23,LCI,WB,4 - 3,Draft,https://www.17lands.com/deck/7c81bc18deb94b0da3070c2def711411/0
24/11/23,LCI,WU,3 - 3,Draft,https://www.17lands.com/deck/0ff92d70c8ae42d784146e621978ac40/0
24/11/23,LCI,WRg,1 - 3,Draft,https://www.17lands.com/deck/4db5220efcae4d4ca5a55236b7cc06d5/0
23/11/23,LCI,UB,7 - 0,Draft,https://www.17lands.com/deck/482ad7966cbf460b9375184c097233c6/0
22/11/23,LCI,UR,7 - 2,Draft,https://www.17lands.com/deck/f0b4c711a1dc47d8a97bfbab473de7b4/0
21/11/23,LCI,UR,5 - 3,Draft,https://www.17lands.com/deck/bf5d5b7ef7194c5fb5b60cd11aac9c4e/0
21/11/23,LCI,BR,4 - 3,Draft,https://www.17lands.com/deck/803b99ecb6704e8993946408d4152e10/0
19/11/23,LCI,Br,5 - 3,Draft,https://www.17lands.com/deck/55d43d1b68a14c02a79a2d22c8b9cbe7/0
18/11/23,LCI,UG,7 - 1,Draft,https://www.17lands.com/deck/19d2e7041e2c478ca3c0a5f7e8688edb/0
17/11/23,LCI,UR,6 - 3,Draft,https://www.17lands.com/deck/1c7243f8efda4bafafcb03625a84d83c/0
17/11/23,LCI,BR,1 - 3,Draft,https://www.17lands.com/deck/01a4c83f0d504ada9826bd895c6c9df2/0
17/11/23,LCI,WB,2 - 3,Draft,https://www.17lands.com/deck/5f370e5853d14056875dcddb32f96635/0
16/11/23,LCI,RG,6 - 3,Draft,https://www.17lands.com/deck/33687b2dbf1f448d82e5c4c99f1eab22/0
16/11/23,LCI,WB,5 - 3,Draft,https://www.17lands.com/deck/bfb4670633224b4aa68efe553ccf9dae/0
15/11/23,LCI,BG,6 - 3,Draft,https://www.17lands.com/deck/630871fa163b4bcbb21991f015e6e39d/0
15/11/23,LCI,UR,4 - 3,Draft,https://www.17lands.com/deck/a782233928754f06a7a12aadb4771e0e/0
8/11/23,WOE,WR,5 - 3,Draft,https://www.17lands.com/deck/599ec6ca1a934b44a084826fe55a6f2e/0
25/10/23,WOE,UB,2 - 3,Draft,https://www.17lands.com/deck/753b5eda4078467787135540d9725aef/0
18/10/23,SIR,WB,7 - 1,Draft,https://www.17lands.com/deck/33c527d6c9c24e4e9a5783572f5b0b28/0
22/9/23,WOE,BGr,3 - 3,Draft,https://www.17lands.com/deck/b1591b550c5d4e25904dbe53dc2cdb55/0
16/9/23,WOE,WR,1 - 3,Draft,https://www.17lands.com/deck/97008281e5af453fa960d2aaad076334/0
13/9/23,WOE,WR,1 - 3,Draft,https://www.17lands.com/deck/0bfe587f80e04db181aa04dbadb64289/0
13/9/23,WOE,BR,0 - 3,Draft,https://www.17lands.com/deck/3d76dd6469114a1aa2df64480e4fd4e9/0
9/9/23,WOE,WGb,3 - 3,Draft,https://www.17lands.com/deck/d9f358a4aff746fa9af9852dd1f702c4/0
8/9/23,WOE,WU,1 - 3,Draft,https://www.17lands.com/deck/7fb9d73bbee4431c981a8efc8d126132/0
8/9/23,WOE,BR,3 - 3,Draft,https://www.17lands.com/deck/a9ba6c20815848efb80fd125bd37e3db/0
15/8/23,ELD,UB,1 - 3,Draft,https://www.17lands.com/deck/ea97260d96734bf38071aaab3aa54705/0
12/8/23,Chaos,BGu,2 - 3,Draft,https://www.17lands.com/deck/69bacfa952564018a8764fa42f2f4b68/0
10/8/23,Chaos,URw,0 - 3,Draft,https://www.17lands.com/deck/94907b777a1d4815a924f9650f54959f/0
7/8/23,Chaos,BG,7 - 1,Draft,https://www.17lands.com/deck/a151dcf2a47743e88807f626f1315243/0
6/8/23,Chaos,WG,2 - 3,Draft,https://www.17lands.com/deck/2052d37e6ace4aa2811629ca9e758e7e/0
6/8/23,Chaos,WU,7 - 2,Draft,https://www.17lands.com/deck/7a789465c21e40baaa46d6baf2daed5f/0
6/8/23,Chaos,UGb,1 - 3,Draft,https://www.17lands.com/deck/888c46fac17c4b39a2d0a30888bb0048/0
6/8/23,Chaos,BGw,0 - 3,Draft,https://www.17lands.com/deck/1d28ecee1982428d8eae4a9ae1cad4dc/0
5/8/23,Chaos,UBwr,5 - 3,Draft,https://www.17lands.com/deck/b6515f663150459392a5909b80662233/0
1/8/23,BRO,BG,1 - 3,Draft,https://www.17lands.com/deck/9d165391ab1c416fa989864be5b0fe18/0
22/7/23,NEO,WUG,7 - 1,Draft,https://www.17lands.com/deck/8561f19095134981be0a901bb5164572/0
19/7/23,NEO,UB,3 - 3,Draft,https://www.17lands.com/deck/cfc6e4a6efcc4aa1a8733ade67956ea1/0
19/7/23,NEO,WG,2 - 3,Draft,https://www.17lands.com/deck/943aee82bd6b4ded81ed1f58474e1548/0
18/7/23,NEO,UR,7 - 1,Draft,https://www.17lands.com/deck/3cb6a41c81314c1a9a01acc35296501b/0
16/7/23,NEO,UGr,4 - 3,Draft,https://www.17lands.com/deck/afb6a440c67142ee9fdc0c712bb7d43e/0
10/6/23,MOM,UBG,4 - 3,Draft,https://www.17lands.com/deck/831186021d4f42c79f74e9e4f2aa825f/0
7/6/23,MOM,WU,3 - 3,Draft,https://www.17lands.com/deck/56f5001f19c14624b5711d576bff89c5/0
2/6/23,MOM,UBg,7 - 2,Draft,https://www.17lands.com/deck/28708ff9f8624430a01452b3a4dc9c69/0
1/6/23,MOM,BGu,7 - 2,Draft,https://www.17lands.com/deck/08790977589d4c999d5fb7498ca6a072/0
24/5/23,MOM,WGb,1 - 3,Draft,https://www.17lands.com/deck/b3b3ba9559bd4a71bd4101296bd9c66e/0
18/5/23,MOM,UG,4 - 3,Draft,https://www.17lands.com/deck/2cae3c11a72a4e69b3f146430b42ef45/0
15/5/23,MOM,UB,7 - 0,Draft,https://www.17lands.com/deck/d9f59caba75f4b75af92aad8cb8841f5/0
13/5/23,MOM,WU,7 - 2,Draft,https://www.17lands.com/deck/7ba9b452c9834f1694cc87667ffb241c/0
13/5/23,MOM,UG,7 - 2,Draft,https://www.17lands.com/deck/e576354371d94b7d8c31ea7b5ed00c91/0
11/5/23,MOM,WU,7 - 2,Draft,https://www.17lands.com/deck/4cf8899f410641a5b88d4e48b014e49c/0
11/5/23,MOM,UR,2 - 3,Draft,https://www.17lands.com/deck/6f5092879661433294ede43095750752/0
8/5/23,MOM,BGw,7 - 2,Draft,https://www.17lands.com/deck/9397a2784c8348d8bc85deaf894da2e5/0
6/5/23,MOM,RGu,4 - 3,Draft,https://www.17lands.com/deck/8a2d6b9659394874b25add18dd2b2177/0
6/5/23,MOM,WBG,2 - 3,Draft,https://www.17lands.com/deck/17b0600b83ff42a4a4a951b9ed1b1b73/0
28/4/23,MOM,UB,3 - 3,Draft,https://www.17lands.com/deck/f5c89f7144214358a4c9e01b4925a679/0
25/4/23,MOM,WU,7 - 1,Draft,https://www.17lands.com/deck/1e312666262a43f5b2d61da6ca1a85f2/0
25/4/23,MOM,UGb,2 - 3,Draft,https://www.17lands.com/deck/5ffe19f3f1624879b32b7b5d0bec3a22/0
24/4/23,MOM,BG,7 - 1,Draft,https://www.17lands.com/deck/0972f3070b2e42c2898e1ab624b00e0f/0
24/4/23,MOM,BG,2 - 3,Draft,https://www.17lands.com/deck/5c0602f775034fe4b158798a0ad8cd1f/0
24/4/23,MOM,UB,1 - 3,Draft,https://www.17lands.com/deck/8edfbf01aa2f4329827e1a27c7acd83d/0
22/4/23,MOM,UBR,1 - 3,Draft,https://www.17lands.com/deck/c0fbd94493964cb4b1faa73a8565dc93/0
21/4/23,MOM,WBu,4 - 3,Draft,https://www.17lands.com/deck/0a9da385ed1d431f962c85acc5c27b7a/0
23/3/23,SIR,RG,7 - 2,Draft,https://www.17lands.com/deck/cf0069ae36e447a99b7a2c7698ab84a5/0
13/3/23,STX,BG,3 - 3,Draft,https://www.17lands.com/deck/9fbc05eff18e4abdb8b2f0f8c7750e49/0
3/3/23,ONE,WR,3 - 3,Draft,https://www.17lands.com/deck/1c4790b36f064c468f18b59c064665ae/0
9/2/23,ONE,WR,5 - 3,Draft,https://www.17lands.com/deck/d71adc5db8744752b63af6c029077901/0
8/2/23,ONE,BG,4 - 3,Draft,https://www.17lands.com/deck/fa5ae89db8e14be583be5eb5bc4b51af/0
6/2/23,NEO,URb,5 - 3,Draft,https://www.17lands.com/deck/5cfc42d3d0354309b292b4cdedad14c7/0
5/2/23,NEO,BR,1 - 3,Draft,https://www.17lands.com/deck/565ded326e0240338f629a27288dce28/0
4/2/23,NEO,WG,2 - 3,Draft,https://www.17lands.com/deck/7e3e473b42b94293a3ba806ef5fcc85d/0
4/2/23,NEO,WGr,6 - 3,Draft,https://www.17lands.com/deck/61929488a3ce418fadd4b3abfdc621f1/0
3/2/23,NEO,WG,6 - 3,Draft,https://www.17lands.com/deck/594f3045140c4711a10275acfbdca4c9/0
3/2/23,NEO,BR,4 - 3,Draft,https://www.17lands.com/deck/8ac4027a71124a7ca3db949152a4eb52/0
27/1/23,KHM,BGu,3 - 3,Draft,https://www.17lands.com/deck/52d8c8e759784aad9fd04ea79ee3310d/0
4/1/23,BRO,WB,7 - 0,Draft,https://www.17lands.com/deck/3f658ed24a0d4f1bab28f6cbb543c567/0
29/12/22,BRO,UR,7 - 1,Draft,https://www.17lands.com/deck/dcefdc238e344258b20d1b1d6afb3032/0
27/12/22,BRO,WU,7 - 1,Draft,https://www.17lands.com/deck/1d2039f9617b42a1abeef51370f6c959/0
25/12/22,BRO,BG,4 - 3,Draft,https://www.17lands.com/deck/b4a58ed66d074bc6b86543db5baa3ecd/0
