set_name,set_code_name,format,date,points,max_points,losses,colors,splash,platform,link
,AFR,Draft,18/7/21,2,7,3,UR,,arena,https://www.17lands.com/deck/d33e78317c4a468bb9bfe469480d32fe/1
,AFR,Draft,13/7/21,0,7,0,UB,R,arena,https://www.17lands.com/deck/dd26b21cc4fe4d6d9e4dcf4135845130/1
,AFR,Draft,11/7/21,3,7,3,RG,,arena,https://www.17lands.com/deck/ff7c627657424d3ca6e4e684fc9b9d0c/1
,STX,Draft,5/5/21,5,7,3,UR,W,arena,https://www.17lands.com/deck/58637c3fff134ae6bbd06075a9d9b09d/1
,KHM,Draft,2/3/21,7,7,2,RG,,arena,https://www.17lands.com/deck/4063235d6312429b989c1c27bd33229b/1
,KHM,Draft,25/2/21,1,7,3,WG,,arena,https://www.17lands.com/deck/9344bf5c7df84b5c890679c1e9d6301e/1
,DSK,Draft,2/11/24,7,7,2,WU,,arena,https://www.17lands.com/deck/f3ef0e670a4942448a5be383c3397237/0
,KHM,Draft,24/10/24,7,7,0,WG,BR,arena,https://www.17lands.com/deck/c3b5fefa248e4097bb8dd9c55d820717/0
,KHM,Draft,24/10/24,2,7,3,UR,,arena,https://www.17lands.com/deck/131e4fae8dfa487fa0107610ec9f27a0/0
,DSK,Draft,21/10/24,7,7,2,BR,,arena,https://www.17lands.com/deck/ffc772278f824a39bad20014a663c4c0/0
,DSK,Draft,20/10/24,7,7,2,WR,,arena,https://www.17lands.com/deck/8f9b77f14d604005a5189fa287279f3e/0
,DSK,Draft,19/10/24,7,7,2,WU,B,arena,https://www.17lands.com/deck/b874c8f5d3744d9897d8f74b33ac7f73/0
,DSK,Draft,18/10/24,7,7,0,WR,,arena,https://www.17lands.com/deck/e238ac9f7933451d8c031adf7f62e0cf/0
,DSK,Draft,18/10/24,2,7,3,WR,,arena,https://www.17lands.com/deck/4e913ebc663d4daeb986142801104319/0
,DSK,Draft,16/10/24,4,7,3,WR,,arena,https://www.17lands.com/deck/7c7a124e413842a289d21e7551a3dc63/0
,DSK,Draft,14/10/24,3,7,3,RG,,arena,https://www.17lands.com/deck/0fad0f980f32432c8293622feeefb51c/0
,DSK,Draft,13/10/24,7,7,1,BR,,arena,https://www.17lands.com/deck/ec5e04b1118e4dccb3e2ea32f91d04e6/0
,DSK,Draft,2/10/24,1,7,3,BR,,arena,https://www.17lands.com/deck/176ab7d01d31401ebae8f66c6f269e37/0
,DSK,Draft,1/10/24,1,7,3,WG,B,arena,https://www.17lands.com/deck/f40e56ba2b3447c48bd35741f38313b8/0
,DSK,Draft,30/9/24,4,7,3,WB,,arena,https://www.17lands.com/deck/94c3072c115e49909d62c8463d425c44/0
,DSK,Draft,28/9/24,5,7,3,RG,B,arena,https://www.17lands.com/deck/20555e90d7ec44ae849b131cb23da181/0
,DSK,Draft,27/9/24,3,7,3,BG,,arena,https://www.17lands.com/deck/ccb1a1372a91492597464296a4636f94/0
,DSK,Draft,27/9/24,5,7,3,RG,B,arena,https://www.17lands.com/deck/8e363eda2c4c449992bd2a499fdc401a/0
,DSK,Draft,27/9/24,0,7,3,UG,R,arena,https://www.17lands.com/deck/4aaeca9d61cf414eaee132b849b9f368/0
,DSK,Draft,27/9/24,1,7,3,WB,,arena,https://www.17lands.com/deck/6b8bb19111bd4c82a9bb53ad3236d07a/0
,DSK,Draft,27/9/24,1,7,3,WU,,arena,https://www.17lands.com/deck/ded8fa284f264432b231325291fc144c/0
,DSK,Draft,26/9/24,4,7,3,UR,,arena,https://www.17lands.com/deck/214f4a363a004889b49736f09f4ba483/0
,DSK,Draft,25/9/24,2,7,3,WU,R,arena,https://www.17lands.com/deck/9bad3245da094946b8ad66cd9d3debc9/0
,DSK,Draft,25/9/24,0,7,3,BG,,arena,https://www.17lands.com/deck/ece20754aebf40bfa0b425cd59cb1260/0
,DSK,Draft,25/9/24,2,7,3,RG,,arena,https://www.17lands.com/deck/360b484357534478beba21c4010decb6/0
,ZNR,Draft,22/9/24,7,7,2,WB,,arena,https://www.17lands.com/deck/26f3097ed9d743bf8df465c20beb3a67/0
,ZNR,Draft,21/9/24,5,7,3,UR,,arena,https://www.17lands.com/deck/5965b568bc044e1c91c175c8e4dbfaab/0
,ZNR,Draft,21/9/24,2,7,3,BR,,arena,https://www.17lands.com/deck/4e6b90cbc64e45e38c0ced446deb5619/0
,ZNR,Draft,20/9/24,6,7,3,BR,,arena,https://www.17lands.com/deck/4625c9631af04aa3b6a029b263de7ddd/0
,ZNR,Draft,19/9/24,4,7,3,UR,,arena,https://www.17lands.com/deck/8b490cdbbe1a481c919eaba4d5f40d3e/0
,ZNR,Draft,19/9/24,1,7,3,WB,,arena,https://www.17lands.com/deck/05c6766765d848ffbdf58ce0b7733d49/0
,ZNR,Draft,18/9/24,7,7,1,WR,,arena,https://www.17lands.com/deck/e1d0c10a8e3d44ebbdb6a154a0a73e65/0
,ZNR,Draft,18/9/24,6,7,3,UB,,arena,https://www.17lands.com/deck/85b82c9d032148e193414d755bc0aa70/0
,AKR,Draft,17/9/24,6,7,3,UR,,arena,https://www.17lands.com/deck/a3854ecfa7e04862b28b023a7726ea73/0
,BLB,Draft,15/9/24,3,7,3,UG,,arena,https://www.17lands.com/deck/77c0df7cbb8b4ae8b718b25359648a50/0
,BLB,Draft,14/9/24,5,7,3,WB,UG,arena,https://www.17lands.com/deck/ddc64843b2be463c9b3dbf28e51087ef/0
,AKR,Draft,13/9/24,7,7,1,WR,,arena,https://www.17lands.com/deck/cc51e43817f14e5f8cccf9ffe7a8798f/0
,AKR,Draft,11/9/24,2,7,3,UR,B,arena,https://www.17lands.com/deck/716ef5e419c7489891be74a9494900d4/0
,AKR,Draft,11/9/24,7,7,2,WR,,arena,https://www.17lands.com/deck/63a9577701d74d25b0ede3ba63065db8/0
,AKR,Draft,11/9/24,1,7,3,WB,,arena,https://www.17lands.com/deck/0d94d99c70b8411c9085fc542ba3d27c/0
,DMU,Draft,9/9/24,7,7,0,WR,,arena,https://www.17lands.com/deck/7146560de9424bce82a87082d8e8500d/0
,BLB,Draft,5/9/24,2,7,3,BG,,arena,https://www.17lands.com/deck/cf49d1b1a9fd43ca84b048a038d9afbe/0
,BLB,Draft,3/9/24,1,7,3,WB,,arena,https://www.17lands.com/deck/39cd46493b5944228d05bdd53c397aff/0
,BLB,Draft,2/9/24,7,7,2,BG,WR,arena,https://www.17lands.com/deck/079d06058364450cb567987282cb1af3/0
,BLB,Draft,28/8/24,4,7,3,BG,,arena,https://www.17lands.com/deck/86fe456475884f54906655dc30eebd6c/0
,BLB,Draft,16/8/24,4,7,3,WR,,arena,https://www.17lands.com/deck/fd40e0f9c42c43f0b698b0e2bb3a1d31/0
,BLB,Draft,14/8/24,5,7,3,RG,B,arena,https://www.17lands.com/deck/b0477071e03b49b59a20a1d0c7ea78ad/0
,BLB,Draft,13/8/24,5,7,3,WB,,arena,https://www.17lands.com/deck/140b3a112a91490880c055666ad6741e/0
,BLB,Draft,9/8/24,7,7,2,RG,,arena,https://www.17lands.com/deck/9187229331d2413cb8eb52ad4cfe6d6f/0
,BLB,Draft,8/8/24,2,7,3,BG,,arena,https://www.17lands.com/deck/a5c451f5c78d44c8a2240d83bae289bc/0
,BLB,Draft,6/8/24,7,7,2,WB,,arena,https://www.17lands.com/deck/e84039e960a343b68c40517191bd502d/0
,BLB,Draft,6/8/24,4,7,3,WB,,arena,https://www.17lands.com/deck/2991182284f944a883e0b43d3a8df3d0/0
,BLB,Draft,3/8/24,6,7,3,WUG,,arena,https://www.17lands.com/deck/e827ab943c6c4f6cb36c79867f78c1db/0
,BLB,Draft,2/8/24,4,7,3,WG,U,arena,https://www.17lands.com/deck/87c51a6ae03048ab89389e9c3c63f798/0
,OTJ,Draft,16/7/24,4,7,3,WG,,arena,https://www.17lands.com/deck/994014a338b340d9aa43f4a031f92684/0
,WOE,Draft,11/7/24,1,7,3,BG,W,arena,https://www.17lands.com/deck/eadde5f009e5478db5fa227ee50e5607/0
,OTJ,Draft,31/5/24,7,7,2,BG,W,arena,https://www.17lands.com/deck/31ef355e161f477a82f3b5ce512549f2/0
,THB,Draft,18/5/24,7,7,1,WB,,arena,https://www.17lands.com/deck/4430558029bc404aaa9db748cd92cc58/0
,OTJ,Draft,14/5/24,3,7,3,UB,,arena,https://www.17lands.com/deck/5865d46b9aef44c39b7285ec608ad89b/0
,OTJ,Draft,5/5/24,5,7,3,BG,U,arena,https://www.17lands.com/deck/5265655e86d34da4874624cf9f9b7f76/0
,OTJ,Draft,1/5/24,1,7,3,BG,,arena,https://www.17lands.com/deck/73ec16c55d644267aadba21cd597b726/0
,OTJ,Draft,27/4/24,4,7,3,BG,W,arena,https://www.17lands.com/deck/f0a7a909ac0d42bebc9aff4012a097c8/0
,OTJ,Draft,24/4/24,3,7,3,WRG,,arena,https://www.17lands.com/deck/c0a546534bf14c1e8d37d394879a5857/0
,OTJ,Draft,18/4/24,7,7,1,BRG,,arena,https://www.17lands.com/deck/c88b81833a35405fa21ce93f0adc5083/0
,RAVM,Draft,30/3/24,4,7,3,UG,B,arena,https://www.17lands.com/deck/000e43cca69249ae87d2179699c01dcf/0
,MKM,Draft,27/3/24,4,7,3,WRG,U,arena,https://www.17lands.com/deck/d786cea14a714ee98314df44a241b75f/0
,MKM,Draft,27/3/24,2,7,3,UR,,arena,https://www.17lands.com/deck/f5aa7044232649d7a0f6470ef17980c0/0
,MKM,Draft,20/3/24,2,7,3,UR,,arena,https://www.17lands.com/deck/aa9af0bdb5894234a358364a12823b8d/0
,MKM,Draft,12/3/24,4,7,3,RG,WUB,arena,https://www.17lands.com/deck/91805f6e00e24cbaa216cdaa602ad5ac/0
,MKM,Draft,12/3/24,7,7,1,UBG,,arena,https://www.17lands.com/deck/9dbab3135a95417f8bd7c874e11e4f46/0
,MKM,Draft,8/3/24,5,7,3,WG,,arena,https://www.17lands.com/deck/08024f65f6fc402099631efad44aa03c/0
,MKM,Draft,7/3/24,2,7,3,URG,,arena,https://www.17lands.com/deck/03a29c1ec2e943c99c9e0c0a75157443/0
,MKM,Draft,1/3/24,4,7,3,UB,,arena,https://www.17lands.com/deck/5fcedccacd6948d2a11da73f6dcd2b67/0
,MKM,Draft,1/3/24,4,7,3,BG,,arena,https://www.17lands.com/deck/88b169f992644119a03076ee60ac1072/0
,MKM,Draft,29/2/24,2,7,3,URG,,arena,https://www.17lands.com/deck/16f53f053d094a33b2f00f6a9e4276d4/0
,MKM,Draft,27/2/24,7,7,0,RG,W,arena,https://www.17lands.com/deck/c8554720e8af4f60b6b9a5830a312f45/0
,MKM,Draft,22/2/24,5,7,3,WUG,BR,arena,https://www.17lands.com/deck/17715e84eec54dbd99256bf424f4477f/0
,MKM,Draft,20/2/24,4,7,3,UG,WB,arena,https://www.17lands.com/deck/584f325eae0f424e9c4827d0a1517dad/0
,MKM,Draft,14/2/24,7,7,2,WU,,arena,https://www.17lands.com/deck/b416fa6385e345c9ab5a2063e1908f8a/0
,MKM,Draft,12/2/24,2,7,3,WR,,arena,https://www.17lands.com/deck/1e9b53b6fb584165b902b879bef40142/0
,MKM,Draft,12/2/24,7,7,2,URG,B,arena,https://www.17lands.com/deck/ed0ba0bf08254fbea2cd8e322c3dfdee/0
,MKM,Draft,10/2/24,6,7,3,BG,,arena,https://www.17lands.com/deck/f39106f756784fd3abf80e0e00463c98/0
,MKM,Draft,7/2/24,1,7,3,BR,,arena,https://www.17lands.com/deck/fae128ccf0ae4a8883108da10fde0018/0
,MKM,Draft,7/2/24,3,7,3,UG,,arena,https://www.17lands.com/deck/3f303f012a2947bb87de9ec6c5839a12/0
,MKM,Draft,7/2/24,1,7,3,UB,,arena,https://www.17lands.com/deck/819c36556fe24183a9a0442bf17241ed/0
,LCI,Draft,18/1/24,1,7,3,WU,,arena,https://www.17lands.com/deck/d62ebd3e82054a249558f35722cce53a/0
,KTK,Draft,20/12/23,4,7,3,UBG,,arena,https://www.17lands.com/deck/43a8068f109f443399c51120351aff6f/0
,KTK,Draft,18/12/23,7,7,1,URG,WB,arena,https://www.17lands.com/deck/d2e6934bddb64eca83e4d28419be87f5/0
,KTK,Draft,18/12/23,4,7,3,WBG,,arena,https://www.17lands.com/deck/11500b8d9f09489a82d9f7d1d9b5a388/0
,KTK,Draft,14/12/23,2,7,3,UBG,,arena,https://www.17lands.com/deck/eecab03592524195ab0396c754c902c5/0
,KTK,Draft,12/12/23,7,7,2,WBG,UR,arena,https://www.17lands.com/deck/822371cd1c76467a9e0baa01ddf6a950/0
,LCI,Draft,9/12/23,1,7,3,WU,,arena,https://www.17lands.com/deck/5e2bf7411fa04d83a5065abb213039ae/0
,LCI,Draft,7/12/23,6,7,3,WU,,arena,https://www.17lands.com/deck/17cb7c263b1c41c3a56c145c0b75d211/0
,LCI,Draft,2/12/23,2,7,3,WU,,arena,https://www.17lands.com/deck/83eaf97a2fda4991820a328dcaaed5ff/0
,LCI,Draft,1/12/23,2,7,3,UR,,arena,https://www.17lands.com/deck/e3bad432c0574f34a27437900800cf6d/0
,LCI,Draft,29/11/23,7,7,1,WB,,arena,https://www.17lands.com/deck/dda0bb59cc1241ebab16149635d2e51b/0
,LCI,Draft,29/11/23,4,7,3,UR,,arena,https://www.17lands.com/deck/72426d56af8645bfa604459b0a38cec9/0
,LCI,Draft,29/11/23,3,7,3,UB,,arena,https://www.17lands.com/deck/1a527be432be4d3caed3ce3a11d960d8/0
,LCI,Draft,28/11/23,5,7,3,UG,R,arena,https://www.17lands.com/deck/be785176cb7145ea9b01c11b5af4f0ff/0
,LCI,Draft,28/11/23,2,7,3,WR,,arena,https://www.17lands.com/deck/e474c600003b43bc9e1d35e3ef6c7ee1/0
,LCI,Draft,28/11/23,3,7,3,BR,,arena,https://www.17lands.com/deck/188e73758e374c8e83f7d75b78be3f97/0
,LCI,Draft,28/11/23,4,7,3,UR,,arena,https://www.17lands.com/deck/3eac4f4b55164a019931d0cca8a380aa/0
,LCI,Draft,27/11/23,3,7,3,UR,,arena,https://www.17lands.com/deck/1c0a6744953241c5b88e99181fd67f28/0
,LCI,Draft,26/11/23,4,7,3,WU,,arena,https://www.17lands.com/deck/86f649e4e82d477f86e5816389409c9e/0
,LCI,Draft,26/11/23,1,7,3,WG,,arena,https://www.17lands.com/deck/42db8e2e23c64a13a60fa66020a0ff60/0
,LCI,Draft,24/11/23,5,7,3,WB,,arena,https://www.17lands.com/deck/ee5b45885f7a4af0be7defdad161e680/0
,LCI,Draft,24/11/23,4,7,3,WB,,arena,https://www.17lands.com/deck/7c81bc18deb94b0da3070c2def711411/0
,LCI,Draft,24/11/23,3,7,3,WU,,arena,https://www.17lands.com/deck/0ff92d70c8ae42d784146e621978ac40/0
,LCI,Draft,24/11/23,1,7,3,WR,G,arena,https://www.17lands.com/deck/4db5220efcae4d4ca5a55236b7cc06d5/0
,LCI,Draft,23/11/23,7,7,0,UB,,arena,https://www.17lands.com/deck/482ad7966cbf460b9375184c097233c6/0
,LCI,Draft,22/11/23,7,7,2,UR,,arena,https://www.17lands.com/deck/f0b4c711a1dc47d8a97bfbab473de7b4/0
,LCI,Draft,21/11/23,5,7,3,UR,,arena,https://www.17lands.com/deck/bf5d5b7ef7194c5fb5b60cd11aac9c4e/0
,LCI,Draft,21/11/23,4,7,3,BR,,arena,https://www.17lands.com/deck/803b99ecb6704e8993946408d4152e10/0
,LCI,Draft,19/11/23,5,7,3,B,R,arena,https://www.17lands.com/deck/55d43d1b68a14c02a79a2d22c8b9cbe7/0
,LCI,Draft,18/11/23,7,7,1,UG,,arena,https://www.17lands.com/deck/19d2e7041e2c478ca3c0a5f7e8688edb/0
,LCI,Draft,17/11/23,6,7,3,UR,,arena,https://www.17lands.com/deck/1c7243f8efda4bafafcb03625a84d83c/0
,LCI,Draft,17/11/23,1,7,3,BR,,arena,https://www.17lands.com/deck/01a4c83f0d504ada9826bd895c6c9df2/0
,LCI,Draft,17/11/23,2,7,3,WB,,arena,https://www.17lands.com/deck/5f370e5853d14056875dcddb32f96635/0
,LCI,Draft,16/11/23,6,7,3,RG,,arena,https://www.17lands.com/deck/33687b2dbf1f448d82e5c4c99f1eab22/0
,LCI,Draft,16/11/23,5,7,3,WB,,arena,https://www.17lands.com/deck/bfb4670633224b4aa68efe553ccf9dae/0
,LCI,Draft,15/11/23,6,7,3,BG,,arena,https://www.17lands.com/deck/630871fa163b4bcbb21991f015e6e39d/0
,LCI,Draft,15/11/23,4,7,3,UR,,arena,https://www.17lands.com/deck/a782233928754f06a7a12aadb4771e0e/0
,WOE,Draft,8/11/23,5,7,3,WR,,arena,https://www.17lands.com/deck/599ec6ca1a934b44a084826fe55a6f2e/0
,WOE,Draft,25/10/23,2,7,3,UB,,arena,https://www.17lands.com/deck/753b5eda4078467787135540d9725aef/0
,SIR,Draft,18/10/23,7,7,1,WB,,arena,https://www.17lands.com/deck/33c527d6c9c24e4e9a5783572f5b0b28/0
,WOE,Draft,22/9/23,3,7,3,BG,R,arena,https://www.17lands.com/deck/b1591b550c5d4e25904dbe53dc2cdb55/0
,WOE,Draft,16/9/23,1,7,3,WR,,arena,https://www.17lands.com/deck/97008281e5af453fa960d2aaad076334/0
,WOE,Draft,13/9/23,1,7,3,WR,,arena,https://www.17lands.com/deck/0bfe587f80e04db181aa04dbadb64289/0
,WOE,Draft,13/9/23,0,7,3,BR,,arena,https://www.17lands.com/deck/3d76dd6469114a1aa2df64480e4fd4e9/0
,WOE,Draft,9/9/23,3,7,3,WG,B,arena,https://www.17lands.com/deck/d9f358a4aff746fa9af9852dd1f702c4/0
,WOE,Draft,8/9/23,1,7,3,WU,,arena,https://www.17lands.com/deck/7fb9d73bbee4431c981a8efc8d126132/0
,WOE,Draft,8/9/23,3,7,3,BR,,arena,https://www.17lands.com/deck/a9ba6c20815848efb80fd125bd37e3db/0
,ELD,Draft,15/8/23,1,7,3,UB,,arena,https://www.17lands.com/deck/ea97260d96734bf38071aaab3aa54705/0
,Chaos,Draft,12/8/23,2,7,3,BG,U,arena,https://www.17lands.com/deck/69bacfa952564018a8764fa42f2f4b68/0
,Chaos,Draft,10/8/23,0,7,3,UR,W,arena,https://www.17lands.com/deck/94907b777a1d4815a924f9650f54959f/0
,Chaos,Draft,7/8/23,7,7,1,BG,,arena,https://www.17lands.com/deck/a151dcf2a47743e88807f626f1315243/0
,Chaos,Draft,6/8/23,2,7,3,WG,,arena,https://www.17lands.com/deck/2052d37e6ace4aa2811629ca9e758e7e/0
,Chaos,Draft,6/8/23,7,7,2,WU,,arena,https://www.17lands.com/deck/7a789465c21e40baaa46d6baf2daed5f/0
,Chaos,Draft,6/8/23,1,7,3,UG,B,arena,https://www.17lands.com/deck/888c46fac17c4b39a2d0a30888bb0048/0
,Chaos,Draft,6/8/23,0,7,3,BG,W,arena,https://www.17lands.com/deck/1d28ecee1982428d8eae4a9ae1cad4dc/0
,Chaos,Draft,5/8/23,5,7,3,UB,WR,arena,https://www.17lands.com/deck/b6515f663150459392a5909b80662233/0
,BRO,Draft,1/8/23,1,7,3,BG,,arena,https://www.17lands.com/deck/9d165391ab1c416fa989864be5b0fe18/0
,NEO,Draft,22/7/23,7,7,1,WUG,,arena,https://www.17lands.com/deck/8561f19095134981be0a901bb5164572/0
,NEO,Draft,19/7/23,3,7,3,UB,,arena,https://www.17lands.com/deck/cfc6e4a6efcc4aa1a8733ade67956ea1/0
,NEO,Draft,19/7/23,2,7,3,WG,,arena,https://www.17lands.com/deck/943aee82bd6b4ded81ed1f58474e1548/0
,NEO,Draft,18/7/23,7,7,1,UR,,arena,https://www.17lands.com/deck/3cb6a41c81314c1a9a01acc35296501b/0
,NEO,Draft,16/7/23,4,7,3,UG,R,arena,https://www.17lands.com/deck/afb6a440c67142ee9fdc0c712bb7d43e/0
,MOM,Draft,10/6/23,4,7,3,UBG,,arena,https://www.17lands.com/deck/831186021d4f42c79f74e9e4f2aa825f/0
,MOM,Draft,7/6/23,3,7,3,WU,,arena,https://www.17lands.com/deck/56f5001f19c14624b5711d576bff89c5/0
,MOM,Draft,2/6/23,7,7,2,UB,G,arena,https://www.17lands.com/deck/28708ff9f8624430a01452b3a4dc9c69/0
,MOM,Draft,1/6/23,7,7,2,BG,U,arena,https://www.17lands.com/deck/08790977589d4c999d5fb7498ca6a072/0
,MOM,Draft,24/5/23,1,7,3,WG,B,arena,https://www.17lands.com/deck/b3b3ba9559bd4a71bd4101296bd9c66e/0
,MOM,Draft,18/5/23,4,7,3,UG,,arena,https://www.17lands.com/deck/2cae3c11a72a4e69b3f146430b42ef45/0
,MOM,Draft,15/5/23,7,7,0,UB,,arena,https://www.17lands.com/deck/d9f59caba75f4b75af92aad8cb8841f5/0
,MOM,Draft,13/5/23,7,7,2,WU,,arena,https://www.17lands.com/deck/7ba9b452c9834f1694cc87667ffb241c/0
,MOM,Draft,13/5/23,7,7,2,UG,,arena,https://www.17lands.com/deck/e576354371d94b7d8c31ea7b5ed00c91/0
,MOM,Draft,11/5/23,7,7,2,WU,,arena,https://www.17lands.com/deck/4cf8899f410641a5b88d4e48b014e49c/0
,MOM,Draft,11/5/23,2,7,3,UR,,arena,https://www.17lands.com/deck/6f5092879661433294ede43095750752/0
,MOM,Draft,8/5/23,7,7,2,BG,W,arena,https://www.17lands.com/deck/9397a2784c8348d8bc85deaf894da2e5/0
,MOM,Draft,6/5/23,4,7,3,RG,U,arena,https://www.17lands.com/deck/8a2d6b9659394874b25add18dd2b2177/0
,MOM,Draft,6/5/23,2,7,3,WBG,,arena,https://www.17lands.com/deck/17b0600b83ff42a4a4a951b9ed1b1b73/0
,MOM,Draft,28/4/23,3,7,3,UB,,arena,https://www.17lands.com/deck/f5c89f7144214358a4c9e01b4925a679/0
,MOM,Draft,25/4/23,7,7,1,WU,,arena,https://www.17lands.com/deck/1e312666262a43f5b2d61da6ca1a85f2/0
,MOM,Draft,25/4/23,2,7,3,UG,B,arena,https://www.17lands.com/deck/5ffe19f3f1624879b32b7b5d0bec3a22/0
,MOM,Draft,24/4/23,7,7,1,BG,,arena,https://www.17lands.com/deck/0972f3070b2e42c2898e1ab624b00e0f/0
,MOM,Draft,24/4/23,2,7,3,BG,,arena,https://www.17lands.com/deck/5c0602f775034fe4b158798a0ad8cd1f/0
,MOM,Draft,24/4/23,1,7,3,UB,,arena,https://www.17lands.com/deck/8edfbf01aa2f4329827e1a27c7acd83d/0
